App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating
WhatsApp,COMMUNICATION,4.3,100000000,30M,"5,000,000,000+",Free,$0,Everyone
Instagram,SOCIAL,4.5,90000000,25M,"1,000,000,000+",Free,$0,Teen
Facebook,SOCIAL,4.1,120000000,50M,"5,000,000,000+",Free,$0,Teen
Subway Surfers,GAME,4.4,35000000,90M,"1,000,000,000+",Free,$0,Everyone 10+
Candy Crush Saga,GAME,4.6,28000000,80M,"1,000,000,000+",Free,$0,Everyone
Netflix,ENTERTAINMENT,4.5,50000000,40M,"1,000,000,000+",Paid,$12.99,Teen
Spotify,MUSIC,4.4,40000000,35M,"1,000,000,000+",Free,$0,Everyone
Snapchat,SOCIAL,4.2,60000000,30M,"1,000,000,000+",Free,$0,Teen
Clash of Clans,GAME,4.5,42000000,120M,"500,000,000+",Free,$0,Everyone 10+
PUBG Mobile,GAME,4.4,55000000,150M,"1,000,000,000+",Free,$0,Teen
YouTube,VIDEO_PLAYERS,4.7,130000000,60M,"10,000,000,000+",Free,$0,Everyone
Google Maps,MAPS_AND_NAVIGATION,4.6,70000000,70M,"5,000,000,000+",Free,$0,Everyone
TikTok,SOCIAL,4.2,95000000,45M,"1,000,000,000+",Free,$0,Teen
Amazon Shopping,SHOPPING,4.5,30000000,55M,"500,000,000+",Free,$0,Everyone
Gmail,COMMUNICATION,4.6,100000000,25M,"10,000,000,000+",Free,$0,Everyone
